PROC2 a=00000000, b=0000000, c=00, d=00000000
PROC2 a=00000001, b=0000000, c=00, d=00000000
PROC2 a=11110101, b=0000000, c=01, d=00000000
PROC2 a=11111000, b=0000000, c=10, d=00000000
PROC2 a=00001000, b=0000000, c=10, d=00000000
PROC2 a=00000000, b=0000000, c=00, d=00000000
PROC2 a=00000000, b=1111111, c=00, d=00000000
PROC2 a=00000000, b=1111111, c=00, d=11110000
PROC2 a=00001110, b=1111111, c=11, d=11110000
PROC2 a=00001110, b=1111111, c=11, d=11101111
PROC2 a=00001110, b=1111111, c=11, d=11110000
